nazwa_zmiennej,typ_ruchu_lotniczego,kraj,rok,przedzial_czasu,liczba_pasazerow,udzial_w_rynku_[proc]
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Maroko",2023,"pierwsza po³owa roku",3527,0.0015
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Kenia",2024,"pierwsza po³owa roku",16983,0.0051
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Kenia",2023,"pierwsza po³owa roku",8208,0.0035
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Zielony Przyl±dek",2024,"pierwsza po³owa roku",16138,0.0049
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Zielony Przyl±dek",2023,"pierwsza po³owa roku",8736,0.0037
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Meksyk",2024,"pierwsza po³owa roku",16013,0.0049
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Meksyk",2023,"pierwsza po³owa roku",19410,0.0083
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Wietnam",2024,"pierwsza po³owa roku",15844,0.0048
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Wietnam",2023,"pierwsza po³owa roku",10258,0.0044
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Sri Lanka",2024,"pierwsza po³owa roku",12272,0.0037
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Sri Lanka",2023,"pierwsza po³owa roku",0,0.0000
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Stany Zjednoczone Ameryki",2024,"pierwsza po³owa roku",11386,0.0034
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Stany Zjednoczone Ameryki",2023,"pierwsza po³owa roku",6822,0.0029
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Czarnogóra",2024,"pierwsza po³owa roku",11248,0.0034
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Czarnogóra",2023,"pierwsza po³owa roku",9644,0.0041
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Pozosta³e kraje",2024,"pierwsza po³owa roku",80246,0.0243
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch czarterowy","Pozosta³e kraje",2023,"pierwsza po³owa roku",78163,0.0333
