nazwa_zmiennej,typ_ruchu_lotniczego,miasto,rok,przedzial_czasu,liczba_pasazerow,udzial_w_rynku_[proc]
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Burgas",2023,"pierwsza po³owa roku",57167,0.0244
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Korfu",2024,"pierwsza po³owa roku",40523,0.0123
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Korfu",2023,"pierwsza po³owa roku",33210,0.0142
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Alicante",2024,"pierwsza po³owa roku",38786,0.0118
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Alicante",2023,"pierwsza po³owa roku",19824,0.0084
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Monastir",2024,"pierwsza po³owa roku",38085,0.0115
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Monastir",2023,"pierwsza po³owa roku",29702,0.0127
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Gran Canaria",2024,"pierwsza po³owa roku",35587,0.0108
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Gran Canaria",2023,"pierwsza po³owa roku",35545,0.0152
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Dalaman",2024,"pierwsza po³owa roku",31318,0.0095
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Dalaman",2023,"pierwsza po³owa roku",19777,0.0084
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Funchal",2024,"pierwsza po³owa roku",30124,0.0091
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Funchal",2023,"pierwsza po³owa roku",18653,0.0080
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Larnaka",2024,"pierwsza po³owa roku",27962,0.0085
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Larnaka",2023,"pierwsza po³owa roku",25973,0.0111
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Pozosta³e miasta",2024,"pierwsza po³owa roku",649925,0.1969
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Pozosta³e miasta",2023,"pierwsza po³owa roku",481718,0.2053
