nazwa_zmiennej,typ_ruchu_lotniczego,kraj,rok,przedzial_czasu,liczba_pasazerow,udzial_w_rynku_[proc]
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Dubaj",2024,"pierwsza po³owa roku",268844,0.0125
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Dubaj",2023,"pierwsza po³owa roku",229148,0.0120
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Wiedeñ",2024,"pierwsza po³owa roku",266435,0.0124
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Wiedeñ",2023,"pierwsza po³owa roku",309083,0.0162
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Zurych",2024,"pierwsza po³owa roku",248978,0.0115
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Zurych",2023,"pierwsza po³owa roku",209006,0.0110
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Ateny",2024,"pierwsza po³owa roku",231043,0.0107
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Ateny",2023,"pierwsza po³owa roku",154699,0.0081
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Manchester",2024,"pierwsza po³owa roku",221732,0.0103
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Manchester",2023,"pierwsza po³owa roku",207720,0.0109
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Istambu³",2024,"pierwsza po³owa roku",217587,0.0101
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Istambu³",2023,"pierwsza po³owa roku",150356,0.0079
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Madryt",2024,"pierwsza po³owa roku",208999,0.0097
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Madryt",2023,"pierwsza po³owa roku",147597,0.0078
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Pozosta³e miasta",2024,"pierwsza po³owa roku",9139242,0.4239
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch regularny","Pozosta³e miasta",2023,"pierwsza po³owa roku",8426246,0.4426
