nazwa_zmiennej,typ_ruchu_lotniczego,kraj,rok,przedzial_czasu,liczba_pasazerow,udzial_w_rynku_[proc]
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Szwajcaria",2023,"pierwsza po³owa roku",271404,0.0143
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Malta",2024,"pierwsza po³owa roku",271419,0.0126
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Malta",2023,"pierwsza po³owa roku",169793,0.0089
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Austria",2024,"pierwsza po³owa roku",266435,0.0124
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Austria",2023,"pierwsza po³owa roku",309083,0.0162
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Chorwacja",2024,"pierwsza po³owa roku",226238,0.0105
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Chorwacja",2023,"pierwsza po³owa roku",154844,0.0081
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Finlandia",2024,"pierwsza po³owa roku",217832,0.0101
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Finlandia",2023,"pierwsza po³owa roku",192316,0.0101
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Wêgry",2024,"pierwsza po³owa roku",187979,0.0087
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Wêgry",2023,"pierwsza po³owa roku",174360,0.0092
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Czechy",2024,"pierwsza po³owa roku",166738,0.0077
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Czechy",2023,"pierwsza po³owa roku",146463,0.0077
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Izrael",2024,"pierwsza po³owa roku",160015,0.0074
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Izrael",2023,"pierwsza po³owa roku",307066,0.0161
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Pozosta³e kraje",2024,"pierwsza po³owa roku",2183104,0.1013
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug kraju","miêdzynarodowy ruch regularny","Pozosta³e kraje",2023,"pierwsza po³owa roku",2065996,0.1085
